RDC Debtors Ledger Excel Report                   ,,,,,,,,,,,,
,,,,,,,,,,,,
Customer Name      :  ,"ELITE CONTRACTORS (CHENNAI) PRIVATE LTD, - VIT",,,,,,,,,,,
Customer Number  : ,138847,,,,,,,,,,,
From Period             : ,01-Apr-24,,,,,,,,,,,
To Period                  : ,31-Mar-25,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inv/ Receipt Date,Doc Type,Plant Name,Inv / Receipt Number,Ship To Address,Transaction Type,Due Date,GST Inv Number,Document Seq Number,Item Description,Quantity,Tran Dr Amt (Rs),Tran Cr Amt (Rs)
18-Apr-24,INV,Chennai-Pudupakkam,2446224,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS176,2.43321E+12,M40,10,"63,720.00",0
18-Apr-24,INV,Chennai-3 RMC Plant,2446231,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,18-Apr-24,3CH24ARS232,2.4332E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446241,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS572,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446247,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS177,2.43321E+12,M40,6,"38,232.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446255,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS573,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-1 RMC Plant,2446264,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai SI,18-Apr-24,1CH24ARS537,2.4332E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-3 RMC Plant,2446266,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,18-Apr-24,3CH24ARS233,2.4332E+12,M40,9,"57,348.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446268,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS178,2.43321E+12,M40,6,"38,232.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446269,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS574,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-1 RMC Plant,2446280,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai SI,18-Apr-24,1CH24ARS538,2.4332E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446282,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS575,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446285,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS179,2.43321E+12,M40,9,"57,348.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446298,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS576,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
18-Apr-24,INV,Chennai-3 RMC Plant,2446309,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,18-Apr-24,3CH24ARS234,2.4332E+12,M40,9,"57,348.00",0
